ID,X,Y
342,"[1, 2, 0.02738754525750755, 0]",0
343,"[1, 1, 0.045783829928471784, 0]",0
344,"[1, 2, 0.05578944404307093, 0]",0
345,"[0, 2, 0.038115803467005986, 1]",1
346,"[1, 2, 0.08607514223788088, 0]",0
347,"[1, 2, 0.04559968718260954, 0]",0
348,"[0, 2, 0.052533183599423536, 0]",1
349,"[0, 3, 0.0636786962007566, 0]",1
350,"[0, 2, 0.1069838814668916, 1]",1
351,"[0, 3, 0.03629674672681723, 0]",0
352,"[0, 3, 0.09414468682268219, 0]",0
353,"[0, 1, 0.08873096775578529, 1]",1
354,"[1, 1, 0.03853195597970673, 0]",0
355,"[1, 2, 0.01000873746952103, 0]",0
356,"[0, 2, 0.1673683321292128, 1]",1
357,"[0, 2, 0.095210035479531, 0]",1
358,"[1, 1, 0.01768922660289303, 0]",1
359,"[0, 3, 0.030430605841675052, 0]",0
360,"[0, 1, 0.09506343515590325, 1]",1
361,"[0, 3, 0.031642935417867224, 0]",1
362,"[1, 3, 0.006452861673643459, 0]",0
363,"[1, 2, 0.041086979199179245, 0]",0
364,"[0, 1, 0.040369417781972804, 0]",1
365,"[0, 1, 0.12053957209963385, 1]",1
366,"[0, 2, 0.0627631245484548, 0]",1
367,"[1, 3, 0.1255262490969096, 0]",0
368,"[0, 3, 0.03196888754482465, 0]",0
369,"[1, 1, 0.051309096051027875, 0]",0
370,"[0, 1, 0.044121723758807053, 0]",1
371,"[0, 1, 0.1292693455628734, 1]",1
372,"[0, 1, 0.060125484740263906, 0]",0
373,"[0, 1, 0.06626060603366532, 0]",1
374,"[0, 1, 0.048590806102029524, 0]",1
375,"[0, 1, 0.06298347993905752, 0]",1
376,"[1, 1, 0.00468791367525424, 0]",0
377,"[0, 1, 0.025446612708464152, 1]",1
378,"[1, 2, 0.04634815351270508, 0]",0
379,"[0, 3, 0.035585185144437675, 0]",1
380,"[0, 3, 0.006909701785150987, 0]",0
381,"[0, 1, 0.04104727684082231, 0]",1
382,"[0, 3, 0.05021049963876384, 0]",0
383,"[0, 1, 0.02621725614653752, 0]",1
384,"[0, 3, 0.0547750905150151, 0]",0
385,"[0, 2, 0.013449240974668885, 0]",0
386,"[0, 2, 0.005855959827661435, 0]",0
387,"[0, 1, 0.027836007123037024, 0]",1
388,"[0, 2, 0.11157888808614186, 0]",0
389,"[0, 2, 0.06190376685452825, 0]",1
390,"[1, 3, 0.06409851017714532, 0]",0
391,"[0, 1, 0.17515290571661804, 1]",1
392,"[0, 1, 0.08804320054880321, 1]",1
393,"[0, 1, 0.027374486540834665, 1]",0
394,"[1, 1, 0.04967108782391396, 0]",0
395,"[0, 2, 0.018201079326391617, 1]",1
396,"[1, 1, 0.08077245326986318, 0]",0
397,"[1, 2, 0.0437422969076296, 0]",0
398,"[1, 2, 0.03310582393764649, 0]",0
399,"[0, 1, 0.10292422331504524, 0]",1
400,"[1, 1, 0.09579320906824522, 0]",1
401,"[0, 1, 0.10362007449205302, 1]",1
402,"[0, 1, 0.07033155259861423, 0]",1
403,"[0, 2, 0.1463989956915359, 0]",1
404,"[1, 3, 0.020355607961661016, 0]",0
405,"[1, 3, 0.10042099927752768, 0]",0
406,"[0, 1, 0.09022875045702515, 1]",1
407,"[0, 3, 0.07927973627173238, 0]",0
408,"[0, 1, 0.009658488620814334, 0]",0
409,"[0, 2, 0.02562921575294078, 0]",0
410,"[0, 2, 0.04795333131723698, 0]",1
411,"[1, 2, 0.04144185228755029, 0]",1
412,"[0, 2, 0.11118811970570622, 1]",1
413,"[1, 3, 0.03963986813586619, 0]",0
414,"[0, 3, 0.008966160649779256, 0]",0
415,"[0, 3, 0.030634924523247835, 0]",1
416,"[0, 1, 0.0309122348085132, 0]",1
417,"[0, 1, 0.09442947486283972, 1]",1
418,"[0, 3, 0.03912506465358221, 0]",0
419,"[0, 2, 0.00976464297990353, 0]",1
420,"[0, 2, 0.0826419847957785, 1]",1
421,"[0, 2, 0.033114058549275974, 0]",0
422,"[0, 2, 0.06419288300565228, 0]",1
423,"[1, 3, 0.04564590876251259, 0]",0
424,"[0, 2, 0.07724692252117514, 0]",0
425,"[0, 3, 0.13693772628753775, 0]",0
426,"[0, 1, 0.097030714292784, 1]",1
427,"[1, 3, 0.1057063150289765, 0]",1
428,"[1, 2, 0.05021049963876384, 0]",0
429,"[0, 1, 0.033259685367556475, 0]",0
430,"[0, 3, 0.029279799138307177, 0]",0
431,"[0, 3, 0.1434585703964681, 0]",1
432,"[0, 1, 0.02660327692248525, 0]",1
433,"[0, 3, 0.11353391502608905, 0]",0
434,"[0, 1, 0.023051195548743974, 0]",1
435,"[1, 3, 0.06846886314376888, 0]",0
436,"[0, 1, 0.05997549670672972, 1]",1
437,"[0, 1, 0.08621516139557861, 1]",1
438,"[0, 1, 0.05433986118859322, 0]",1
439,"[0, 2, 0.04366130403370768, 0]",0
440,"[1, 3, 0.01683033507444598, 0]",0
441,"[0, 2, 0.1477303950219351, 0]",1
442,"[0, 1, 0.08621516139557861, 1]",1
443,"[0, 3, 0.007626911337533748, 0]",1
444,"[0, 1, 0.06465667417863424, 1]",1
445,"[0, 2, 0.043229353524619214, 0]",0
446,"[1, 2, 0.05514376836251532, 0]",1
447,"[0, 2, 0.12053957209963385, 0]",0
448,"[1, 2, 0.04243140814543423, 0]",0
